ING,aromatic,sweet,sour,spicy,creamy,bitter ,salty,fruity,nutty,alcoholic,drink,fizzy_drink,fruit juice,dairy,syrups,
cloves,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
orange peel,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
egg yolk,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
sugar syrup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
peychaud bitters,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
curacao,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,
blackcurrant squash,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
cardamom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
celery salt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
agave syrup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
lillet blanc,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
limeade,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,
cream of coconut,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,
maraschino cherry,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
hot chocolate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
cherry,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
angostura bitters,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
licorice root,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fresh lemon juice,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,
nutmeg,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
almond flavoring,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
worcestershire sauce,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
whipped cream,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
creme de mure,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
vanilla,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
peppermint extract,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
st. germain,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
dr. pepper,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
sirup of roses,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,
orange spiral,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
coconut syrup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
asafoetida,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
lime peel,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,
raspberry syrup,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,
fennel seeds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
wormwood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
egg white,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
fresh lime juice,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,
candy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
caramel sauce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
chocolate milk,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,
food coloring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
melon liqueur,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
marshmallows,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
cayenne pepper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
oreo cookie,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,
whipping cream,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
chocolate sauce,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
cherry grenadine,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,
caramel coloring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pepper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
cherries,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
marjoram leaves,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
mini-snickers bars,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,
lavender,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
black pepper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
fresca,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
glycerine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
